x1_10^6,x1_10^6,x1_10^6,x1_10^6,x1_10^6,x1_10^6,x2_10^6,x2_10^6,x2_10^6,x2_10^6,x2_10^6,x3_10^6,x3_10^6,x3_10^6,x3_10^6,x3_10^6,x4_10^6,x4_10^6,x4_10^6,x4_10^6,X1_10^5,X1_10^5,X1_10^5,x2_10^5,x2_10^5,x2_10^5,x3_10^5,x3_10^5,x3_10^5,x4_10^5,x4_10^5,x4_10^5,X1_Neg,X2_Neg,X3_Neg,X4_Neg
2169,1424,1461,1489,1360,2204,1469,1483,1464,2181,2295,1257,1323,1169,2075,1966,1483,2149,2445,2295,2091,2105,1953,2217,2073,2091,1828,1811,1725,2206,2249,2323,2020,2380,1948,2377
2164,1416,1454,1480,1348,2187,1451,1475,1464,2177,2274,1240,1330,1160,2054,1984,1465,2136,2423,2259,2077,2094,1939,2242,2053,2065,1828,1804,1726,2181,2225,2296,2003,2360,1913,2341
2167,1408,1446,1478,1344,2179,1447,1478,1460,2170,2265,1239,1324,1142,2029,1960,1460,2140,2419,2270,2068,2085,1916,2238,2040,2051,1825,1787,1716,2175,2232,2287,1989,2321,1917,2321
2172,1409,1436,1473,1335,2175,1450,1475,1459,2175,2252,1237,1320,1142,2022,1964,1450,2140,2414,2255,2056,2065,1908,2229,2023,2041,1817,1770,1695,2173,2227,2278,1997,2306,1903,2307
2174,1406,1428,1472,1332,2170,1448,1474,1457,2164,2264,1234,1316,1143,2040,1950,1445,2138,2399,2252,2053,2056,1895,2224,2010,2040,1802,1760,1679,2169,2224,2271,1993,2300,1896,2296
2173,1402,1422,1469,1327,2166,1437,1476,1453,2164,2260,1227,1308,1121,2038,1953,1447,2129,2388,2259,2037,2051,1883,2216,2009,2035,1805,1779,1679,2161,2208,2248,1995,2301,1886,2287
2177,1397,1419,1465,1322,2159,1431,1470,1457,2158,2255,1239,1302,1121,2036,1938,1440,2125,2390,2259,2039,2058,1881,2217,2002,2025,1790,1766,1683,2153,2213,2247,1989,2300,1880,2285
2176,1392,1418,1460,1323,2161,1432,1473,1458,2155,2249,1215,1284,1139,2028,1943,1432,2120,2387,2253,2033,2066,1876,2226,1998,2026,1801,1779,1688,2143,2213,2245,1994,2308,1874,2295
2181,1391,1416,1457,1320,2157,1424,1472,1457,2164,2253,1208,1293,1136,2004,1928,1430,2123,2383,2257,2028,2062,1872,2214,1992,2018,1815,1773,1676,2148,2197,2250,1993,2318,1879,2304
2188,1388,1412,1459,1317,2152,1427,1470,1458,2168,2251,1206,1289,1151,2025,1933,1427,2124,2374,2251,2025,2061,1871,2215,1996,2017,1785,1774,1686,2144,2183,2254,1996,2330,1876,2309
2187,1388,1412,1458,1316,2149,1431,1472,1457,2171,2262,1220,1299,1148,2020,1945,1429,2116,2378,2265,2023,2054,1870,2219,1991,2020,1812,1768,1671,2153,2202,2245,1996,2343,1849,2308
2190,1385,1415,1458,1316,2148,1425,1480,1459,2175,2258,1213,1292,1142,2005,1946,1434,2124,2363,2252,2021,2056,1868,2218,1993,2022,1817,1771,1685,2153,2197,2252,1999,2349,1882,2314
2197,1383,1412,1456,1310,2153,1424,1485,1462,2181,2264,1204,1292,1154,2029,1940,1433,2119,2366,2267,2033,2050,1875,2212,1998,2019,1811,1741,1681,2157,2189,2256,1997,2360,1878,2305
2191,1388,1413,1459,1311,2152,1423,1490,1465,2188,2271,1188,1281,1150,2020,1937,1427,2130,2364,2266,2031,2053,1872,2194,2004,2017,1803,1767,1671,2153,2176,2253,2005,2368,1871,2327
2192,1388,1412,1463,1314,2153,1422,1494,1465,2191,2274,1212,1285,1152,1997,1938,1431,2128,2368,2269,2028,2052,1873,2184,2007,2022,1813,1762,1695,2161,2182,2256,2006,2382,1861,2332
2201,1389,1417,1465,1313,2156,1431,1500,1472,2200,2291,1188,1288,1147,1999,1974,1439,2134,2357,2270,2024,2053,1872,2172,2009,2019,1812,1761,1693,2158,2188,2257,2010,2388,1880,2341
2211,1392,1424,1472,1314,2159,1438,1516,1483,2205,2305,1203,1287,1157,2011,1974,1439,2140,2369,2271,2025,2054,1871,2158,2014,2025,1789,1744,1691,2162,2186,2254,2012,2399,1884,2343
2223,1403,1432,1485,1315,2160,1448,1530,1496,2221,2320,1207,1299,1138,1989,1970,1450,2151,2357,2268,2024,2056,1867,2171,2018,2024,1816,1750,1688,2165,2184,2259,2018,2409,1895,2352
